M50*50
	:2:0,000000:0:	:2:0,000000:0:	:27:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:0:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:	:2:0,000000:0:
